id,customer_id,product_id,sale_amount,sale_date
1,10031,190,327.39,2023-07-22
2,8945,766,175.35,2023-12-20
3,6941,450,554.05,2023-04-12
4,4518,408,819.71,2023-04-11
5,3853,727,756.92,2023-12-22
6,1036,75,208.51,2023-05-03
7,4517,489,39.54,2023-09-28
8,2623,155,845.90,2023-04-04
9,6098,104,390.18,2023-04-03
10,9656,119,817.85,2023-07-29
11,7258,52,804.37,2023-01-09
12,6804,196,474.68,2023-08-23
13,8627,917,253.44,2023-10-18
14,6965,180,850.27,2023-07-23
15,4842,856,696.24,2023-05-20
16,8245,869,757.43,2023-08-26
17,10455,883,855.67,2023-09-27
18,2226,963,581.29,2023-01-31
19,7974,711,829.85,2023-11-16
20,1391,123,400.93,2023-06-23
21,6036,125,320.41,2023-01-03
22,9386,420,217.34,2023-12-29
23,7992,927,996.23,2023-12-10
24,3850,779,888.73,2023-05-05
25,3555,932,890.65,2023-04-01
26,8031,790,254.12,2023-06-07
27,8868,196,616.49,2023-09-07
28,10374,479,660.32,2023-10-18
29,4819,311,654.48,2023-07-29
30,10102,862,982.86,2023-12-29
31,3090,362,470.16,2023-01-27
32,4756,537,332.06,2023-03-16
33,8003,464,415.69,2023-03-04
34,5202,535,472.86,2023-02-19
35,5446,914,989.22,2023-06-21
36,4074,559,751.74,2023-04-24
37,1459,984,102.49,2023-10-13
38,6325,871,106.43,2023-11-04
39,2183,869,485.38,2023-01-26
40,10523,740,41.48,2023-09-24
41,7786,787,288.35,2023-12-03
42,2310,852,907.54,2023-01-31
43,7778,413,883.05,2023-03-07
44,1361,558,458.05,2023-09-01
45,9545,201,458.82,2023-01-05
46,4480,533,655.25,2023-12-17
47,6929,505,974.72,2023-04-15
48,8568,993,432.08,2023-09-25
49,9297,429,538.96,2023-01-05
50,1345,51,114.99,2023-08-21
51,2607,413,796.59,2023-11-13
52,9912,410,406.77,2023-03-03
53,9942,147,83.23,2023-03-07
54,9813,635,38.86,2023-07-07
55,10068,718,593.11,2023-04-22
56,2833,586,963.11,2023-10-20
57,1824,636,610.20,2023-06-13
58,2757,129,700.83,2023-09-17
59,8285,595,433.39,2023-09-27
60,5494,720,747.89,2023-01-30
61,4530,138,459.98,2023-12-16
62,7228,58,675.43,2023-12-08
63,6302,647,225.38,2023-10-02
64,1681,778,556.61,2023-09-27
65,1040,383,46.78,2023-06-14
66,4699,629,984.44,2023-01-07
67,1800,257,994.26,2023-10-07
68,3529,88,488.36,2023-09-14
69,8257,313,541.53,2023-02-22
70,7703,519,624.47,2023-12-30
71,1590,518,231.34,2023-09-20
72,2692,438,173.20,2023-11-13
73,2146,990,178.96,2023-03-22
74,5964,138,992.14,2023-11-25
75,2351,274,154.67,2023-07-12
76,8617,652,217.75,2023-09-12
77,4164,722,13.33,2023-11-28
78,2792,17,794.52,2023-06-09
79,2088,415,541.11,2023-09-14
80,4983,980,967.27,2023-03-21
81,2471,290,515.04,2023-03-25
82,1936,236,103.29,2023-02-23
83,6980,939,643.73,2023-05-24
84,10137,339,86.66,2023-08-05
85,8793,539,783.51,2023-03-30
86,7307,398,635.57,2023-09-17
87,3530,677,424.42,2023-03-11
88,7618,527,553.98,2023-08-30
89,7747,977,165.36,2023-06-19
90,10055,147,236.42,2023-06-26
91,3383,944,893.40,2023-06-21
92,4563,786,255.83,2023-10-17
93,10957,183,823.52,2023-03-20
94,8711,555,167.80,2023-03-16
95,7082,602,100.58,2023-03-31
96,6489,771,185.71,2023-03-09
97,3187,754,847.42,2023-05-06
98,1627,68,428.20,2023-01-06
99,1374,508,414.16,2023-10-25
100,9635,390,957.94,2023-07-05
101,7040,153,402.14,2023-04-24
102,10737,709,532.29,2023-03-20
103,2880,594,193.15,2023-10-14
104,9892,317,635.91,2023-06-05
105,10817,258,125.49,2023-07-19
106,8981,642,604.63,2023-10-20
107,5878,653,757.01,2023-08-13
108,4673,340,687.11,2023-05-04
109,2297,107,351.53,2023-09-26
110,6273,245,235.38,2023-12-24
111,1292,562,394.33,2023-06-29
112,7801,916,326.12,2023-11-25
113,7061,337,679.73,2023-09-17
114,7695,932,744.01,2023-12-30
115,7298,204,148.79,2023-07-28
116,2361,546,676.65,2023-09-04
117,1926,956,275.40,2023-07-20
118,4842,458,517.35,2023-07-16
119,2722,880,314.35,2023-03-25
120,8843,450,380.73,2023-06-09
121,6653,451,59.27,2023-05-21
122,9177,90,647.03,2023-07-10
123,1678,876,61.21,2023-09-06
124,6113,947,346.57,2023-05-13
125,2411,337,904.32,2023-06-05
126,6386,191,517.62,2023-12-01
127,9830,668,346.10,2023-10-28
128,4990,20,534.86,2023-06-17
129,8633,974,764.78,2023-04-16
130,4877,443,369.80,2023-05-11
131,1821,778,607.50,2023-03-14
132,8258,202,148.82,2023-11-03
133,5237,472,767.00,2023-02-25
134,6519,534,748.56,2023-05-13
135,3994,943,23.98,2023-09-09
136,6235,963,894.89,2023-07-11
137,5097,374,233.88,2023-03-18
138,7319,497,639.75,2023-12-01
139,6318,694,836.32,2023-04-23
140,6703,811,821.61,2023-01-22
141,5698,862,124.37,2023-03-07
142,4023,564,123.44,2023-12-06
143,6906,522,482.91,2023-01-01
144,10300,451,988.27,2023-01-16
145,1174,619,518.36,2023-09-13
146,6135,924,591.39,2023-02-17
147,2963,717,277.78,2023-09-19
148,6999,996,723.26,2023-01-22
149,5100,670,964.03,2023-11-25
150,5295,778,446.13,2023-06-02
151,2199,918,862.57,2023-08-20
152,1556,85,351.53,2023-06-30
153,6821,108,839.32,2023-06-10
154,10266,345,100.54,2023-11-07
155,2284,454,255.49,2023-09-27
156,10661,306,585.96,2023-07-11
157,7207,10,849.62,2023-03-23
158,2059,453,113.78,2023-05-01
159,8551,845,430.57,2023-07-01
160,3444,233,314.40,2023-07-16
161,3851,845,567.92,2023-09-21
162,6082,161,201.54,2023-10-24
163,7822,492,936.13,2023-08-13
164,9064,448,977.49,2023-06-24
165,3426,892,671.60,2023-06-17
166,6509,450,31.61,2023-09-04
167,9124,931,792.68,2023-11-20
168,6452,235,481.21,2023-06-23
169,7888,588,252.43,2023-02-01
170,4079,666,711.18,2023-10-08
171,8525,56,551.95,2023-04-28
172,8133,47,214.65,2023-01-07
173,1522,377,867.15,2023-04-13
